id,value
DSC
DSC.Attocube 3DR
DSC.Attocube 3DR.axis_1__Amplitude,9090
DSC.Attocube 3DR.axis_1__Capacitance,9090
DSC.Attocube 3DR.axis_1__control_mode,9090
DSC.Attocube 3DR.axis_1__current_position,9090
DSC.Attocube 3DR.axis_1__DCLevel,9090
DSC.Attocube 3DR.axis_1__Frequency,9090
DSC.Attocube 3DR.axis_1__moving,9090
DSC.Attocube 3DR.axis_1__Output,9090
DSC.Attocube 3DR.axis_1__rot_count,9090
DSC.Attocube 3DR.axis_1__sensor_disconnected,9090
DSC.Attocube 3DR.axis_1__sensor_error,9090
DSC.Attocube 3DR.axis_1__Single_Circle_Mode,9090
DSC.Attocube 3DR.axis_1__sp_position,9090
DSC.Attocube 3DR.axis_1__sp_rot_count,9090
DSC.Attocube 3DR.axis_1__speed,9090
DSC.Attocube 3DR.axis_1__StepWidth,9090
DSC.Attocube 3DR.axis_1__stop_detected,9090
DSC.Attocube 3DR.axis_1__stop_enable,9090
DSC.Attocube 3DR.axis_1__Target_GND,9090
DSC.Attocube 3DR.axis_2__Amplitude,9090
DSC.Attocube 3DR.axis_2__Capacitance,9090
DSC.Attocube 3DR.axis_2__control_mode,9090
DSC.Attocube 3DR.axis_2__current_position,9090
DSC.Attocube 3DR.axis_2__DCLevel,9090
DSC.Attocube 3DR.axis_2__Frequency,9090
DSC.Attocube 3DR.axis_2__moving,9090
DSC.Attocube 3DR.axis_2__Output,9090
DSC.Attocube 3DR.axis_2__rot_count,9090
DSC.Attocube 3DR.axis_2__sensor_disconnected,9090
DSC.Attocube 3DR.axis_2__sensor_error,9090
DSC.Attocube 3DR.axis_2__Single_Circle_Mode,9090
DSC.Attocube 3DR.axis_2__sp_position,9090
DSC.Attocube 3DR.axis_2__sp_rot_count,9090
DSC.Attocube 3DR.axis_2__speed,9090
DSC.Attocube 3DR.axis_2__StepWidth,9090
DSC.Attocube 3DR.axis_2__stop_detected,9090
DSC.Attocube 3DR.axis_2__stop_enable,9090
DSC.Attocube 3DR.axis_2__Target_GND,9090
DSC.Attocube 3DR.static_amplitude,9090
DSC.Cypher
DSC.Cypher.Cypher_RH1,9090
DSC.Cypher.Cypher_RH2,9090
DSC.Cypher.Cypher_Temperature,9090
DSC.Cypher.Cypher_Funnel_Property,9090
DSC.Cypher.Cypher_Path_Property,9090
DSC.Cypher.Cypher_Rectangle_Property,9090
DSC.DR200
DSC.DR200.DR200_100mK_Plate_R(Ohm),9090
DSC.DR200.DR200_100mK_Plate_T(K),9090
